Date,spy GARCHNet | qlike,spy GARCHNet | mse_var,StaticGARCH | qlike,StaticGARCH | mse_var,GJRGARCH | qlike,GJRGARCH | mse_var,EGARCH | qlike,EGARCH | mse_var,EWMA | qlike,EWMA | mse_var
2025-06-02,-8.527816699745042,2.858721214187694e-09,-8.167716907250574,2.228793339581591e-08,-8.283065099779746,1.3523304993762043e-08,-8.543600068924627,2.4511034909125258e-09,-8.0780501345391,3.1394379837164684e-08
2025-06-03,-8.871788919159759,6.485677883578294e-09,-8.377307778410874,2.9636164862248138e-08,-8.51904645948768,1.9982781002227767e-08,-8.908495600253168,5.663755153654189e-09,-8.268602378382566,3.9528112488442486e-08
2025-06-04,-9.195487785302648,7.927201873890818e-09,-8.538704722985054,3.3629562096079076e-08,-8.698162705998683,2.3874553962309205e-08,-9.195237741829027,7.931732034217683e-09,-8.416605495636416,4.360416458040867e-08
2025-06-05,-8.615279079100858,4.2631425302545027e-10,-8.272463033133352,1.287921763233007e-08,-8.366077023583584,7.76704588467992e-09,-8.587953306469107,8.646907019337534e-10,-8.18829174439569,1.895451625616348e-08
2025-06-06,-9.252102168493337,3.904840784170591e-09,-8.594460953546468,2.3303665784833198e-08,-8.715390765056943,1.728008489432101e-08,-9.053044352934423,7.056538963128092e-09,-8.478057395595021,3.083681596833978e-08
2025-06-09,-9.326256359534108,5.389513308380488e-09,-8.66758613943637,2.4530838339931508e-08,-8.819930285665206,1.7496937790591318e-08,-9.25342658558804,6.42732324588872e-09,-8.548682939920281,3.181614667470114e-08
2025-06-10,-9.32147878595246,2.324083157811105e-09,-8.65242932039427,1.8275837264640282e-08,-8.781687940284591,1.2949541873312506e-08,-9.145113541097908,4.375322707469018e-09,-8.541992366162349,2.4254380882964256e-08
2025-06-11,-9.150291674023007,8.229382466118892e-10,-8.599228337808766,1.2874320580933078e-08,-8.71253057315812,8.649940422680735e-09,-9.027594797750325,2.0392149260606254e-09,-8.50178665537533,1.764432955928185e-08
2025-06-12,-9.459016303321635,1.5386046542787483e-09,-8.755484320439601,1.4577831810691216e-08,-8.87205503700217,1.065353587809668e-08,-9.196729939520107,4.0462355050844634e-09,-8.647046381908346,1.9302462161330138e-08
2025-06-13,-9.066969857964613,1.9313054401169265e-10,-8.62766585728275,8.161655482687126e-09,-8.714746524094013,5.520149805124032e-09,-8.945064412526666,1.2645505520760626e-09,-8.541337143965904,1.1530324972202388e-08
2025-06-16,-9.385130078028029,2.0832235708407494e-09,-8.80311255137719,1.2865500827185908e-08,-8.863303085198337,1.093120520073327e-08,-9.093330064817897,5.6276540262992014e-09,-8.703124728507277,1.6736596128639042e-08
2025-06-17,-9.229672509693119,1.834864805579442e-09,-8.764324513454442,1.0731378969038099e-08,-8.843926646414785,8.344135814257165e-09,-9.103402427608149,3.2533822412067356e-09,-8.674896635306125,1.404014429521686e-08
2025-06-18,-9.254001307781587,2.1304374192578432e-09,-8.801690014334385,1.0591505286927114e-08,-8.850929167604638,9.127921720725406e-09,-9.029291397080163,5.111666428332898e-09,-8.71476598809755,1.3644499820657264e-08
2025-06-20,-8.94099771614873,6.120895414239455e-10,-8.668927577026682,5.480667054053169e-09,-8.699661082326877,4.662567685963733e-09,-8.809599122265938,2.3457581818782084e-09,-8.602154963371992,7.55711133493803e-09
2025-06-23,-8.478535091040579,7.194740812599969e-11,-8.415828602811231,1.3862617516169707e-09,-8.42482708862357,1.1621463983276394e-09,-8.45241366696583,5.546732541223697e-10,-8.37959766393549,2.4165481185793804e-09
2025-06-24,-9.27700236160386,2.692400728252341e-09,-8.922794841064615,8.606010500394288e-09,-8.979104846400297,7.282052594683999e-09,-9.119543083774017,4.6824037615780866e-09,-8.84467515034738,1.0767773686965192e-08
2025-06-25,-9.36439390438113,4.447719924174046e-09,-9.009480477343702,1.06935279346424e-08,-9.120563898498043,8.191215780743159e-09,-9.361391693156655,4.48244248156578e-09,-8.930112645302573,1.2891361072184725e-08
2025-06-26,-9.40496622426202,2.5388324548072974e-09,-9.0091877407322,8.29998722904771e-09,-9.103244627833941,6.398327986029972e-09,-9.303873683823884,3.526548569446351e-09,-8.936811968596382,1.0075393289744086e-08
2025-06-27,-9.188008549371608,1.2314310860150703e-09,-8.889733782083223,5.4611423184120585e-09,-8.982376592681574,3.7164996148292246e-09,-9.172259213356401,1.3671804441625068e-09,-8.832903884873295,6.780181499736011e-09
2025-06-30,-9.449837296099952,1.8563149557238885e-09,-9.053480467040684,6.794017303226067e-09,-9.165162953835994,4.877152196363125e-09,-9.426424984569774,2.028312063927824e-09,-8.99117734240825,8.110155602213608e-09
2025-07-01,-9.609642980429681,2.0521677696782732e-09,-9.155881435184384,7.0994905376577196e-09,-9.27773494579305,5.191645977911867e-09,-9.590051154233425,2.17659241069302e-09,-9.0935251576247,8.298091038826588e-09
2025-07-02,-9.61263799945123,1.3176693818253264e-09,-9.164156820179839,5.648150914080926e-09,-9.26933603747544,4.163877985585043e-09,-9.525564944591322,1.819067256468466e-09,-9.108712545055038,6.594074491653712e-09
2025-07-03,-9.653083840344976,1.2010478876745616e-09,-9.206403257121426,5.155860596317831e-09,-9.313026867459767,3.779967500240739e-09,-9.589906840382728,1.5240230736890331e-09,-9.155802451901732,5.942266701361979e-09
2025-07-07,-9.194561872818838,2.0546160597665165e-10,-8.959866687191468,2.3846982693079834e-09,-9.046756633840552,1.3231859768576363e-09,-9.21216786529816,1.2345430455583247e-10,-8.928871992689903,2.8496700809943874e-09
2025-07-08,-9.760102776294932,2.002692881789626e-09,-9.3186043555542,5.919986746332923e-09,-9.420621038475323,4.652437710874187e-09,-9.688136371715435,2.409866073011038e-09,-9.27669528043944,6.527550015995125e-09
2025-07-09,-9.607344540454317,1.4682160380291951e-09,-9.278231651927369,4.2530197254413176e-09,-9.359833156416766,3.335836151100689e-09,-9.556007807188168,1.7637555779187367e-09,-9.24542625868043,4.676004980765793e-09
2025-07-10,-9.61285728382643,1.392186649388796e-09,-9.298605110472275,3.933385848791722e-09,-9.391875136710219,2.9584774580928736e-09,-9.621949969425609,1.3453395732313593e-09,-9.272099952403744,4.253640418945568e-09
2025-07-11,-9.742976918360192,1.3616160339087175e-09,-9.38631703368005,3.906774366895757e-09,-9.479793964002132,3.0169271500416334e-09,-9.731089994060593,1.4153879554116494e-09,-9.364679786672871,4.1420055021139685e-09
